Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
SURVEY,2021,YEAR,,COUNTY,GEORGIA,13,NORTH CENTRAL,20,UNION,291,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,148.8,16.7
SURVEY,2021,YEAR,,COUNTY,GEORGIA,13,NORTH CENTRAL,20,WALTON,297,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,69.2,21.6
SURVEY,2021,YEAR,,COUNTY,INDIANA,18,NORTH CENTRAL,20,ELKHART,39,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,179,4.1
SURVEY,2021,YEAR,,COUNTY,INDIANA,18,NORTH CENTRAL,20,FULTON,49,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,185,1.6
SURVEY,2021,YEAR,,COUNTY,INDIANA,18,NORTH CENTRAL,20,KOSCIUSKO,85,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,188.9,3.2
SURVEY,2021,YEAR,,COUNTY,INDIANA,18,NORTH CENTRAL,20,MARSHALL,99,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,185.5,3
SURVEY,2021,YEAR,,COUNTY,INDIANA,18,NORTH CENTRAL,20,ST. JOSEPH,141,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,163,4.4
SURVEY,2021,YEAR,,COUNTY,INDIANA,18,NORTH CENTRAL,20,WABASH,169,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,189,4.1
SURVEY,2021,YEAR,,COUNTY,IOWA,19,NORTH CENTRAL,20,BUTLER,23,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,205.6,3.1
SURVEY,2021,YEAR,,COUNTY,IOWA,19,NORTH CENTRAL,20,CERRO GORDO,33,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,200.9,3.1
SURVEY,2021,YEAR,,COUNTY,IOWA,19,NORTH CENTRAL,20,FLOYD,67,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,206.1,1.7
SURVEY,2021,YEAR,,COUNTY,IOWA,19,NORTH CENTRAL,20,FRANKLIN,69,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,199.8,2
SURVEY,2021,YEAR,,COUNTY,IOWA,19,NORTH CENTRAL,20,HANCOCK,81,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,210.9,1.3
SURVEY,2021,YEAR,,COUNTY,IOWA,19,NORTH CENTRAL,20,HUMBOLDT,91,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,206.3,1.9
